rank,item_id,label,group,score,confidence,uncertainty,rating_mean,rating_count,comparison_count,pairwise_win_rate
1,python,Python,language,0.8702047391003982,0.9995437728113926,0.0020722402194369386,8.753246192548826,2834,23456.684933423137,0.8814085202256813
2,typescript,TypeScript,language,0.8232780761463626,0.9994907528976811,0.0024848040758599405,8.471336501029237,2507,21045.198883719255,0.815461084864925
3,rust,Rust,language,0.803214017172805,0.9991081835156694,0.0034273609504339164,8.330695798766511,1406,12037.683103915764,0.7903849112107492
4,go,Go,language,0.7775591914737492,0.9992913340602761,0.0031959804879534365,8.153647839110725,1790,15131.225272086884,0.7571901635760643
5,kotlin,Kotlin,language,0.736277570907273,0.9990394815835841,0.0039423624001618165,7.863629252322173,1299,11182.253429514545,0.7050574896318974
6,swift,Swift,language,0.719250268816211,0.9989232773960541,0.004256581794102225,7.8453988392553144,1169,9963.931810685168,0.6698920746912161
7,javascript,JavaScript,language,0.7077990919721782,0.9995355320598123,0.0028293262524759803,7.614123344492451,3093,22731.013558114646,0.675089763563041
8,csharp,C#,language,0.6914865866041748,0.9992853798073768,0.003564313736056422,7.5181289407824945,2020,14760.136751622835,0.6520898910223346
9,java,Java,language,0.6533805352401427,0.9994433946217907,0.003241101605643888,7.307022333301275,2576,18971.25988104126,0.5959297317375691
10,scala,Scala,language,0.6443122766902263,0.9981535956005717,0.005938208347413325,7.258398594523857,781,5706.117963386183,0.583478421959441
11,elixir,Elixir,language,0.6314399864410156,0.9975237439911732,0.0069299052390689115,7.167166490753677,583,4251.025595586658,0.5677366509804145
12,clojure,Clojure,language,0.6064625520427375,0.996943326304182,0.007797025307444663,6.937272777064374,472,3441.8361193141973,0.5436587267135417
13,ruby,Ruby,language,0.5926060030465491,0.9989247488249531,0.004651089276820369,6.907910794699757,1344,9804.18310742775,0.5154285390122529
14,julia,Julia,language,0.5865440133694335,0.997461765333778,0.00716209715792194,6.888692164719598,570,4145.6952598953985,0.5057059801890913
15,fsharp,F#,language,0.5580370767953151,0.9955444939327142,0.009569347877308319,6.652875563639031,324,2357.2967476150375,0.47548906513824596
16,haskell,Haskell,language,0.555989046706669,0.9962220197967119,0.008815951164223623,6.720918117563574,386,2778.3003918220056,0.46144366314518587
17,php,PHP,language,0.530047383345899,0.9992568700908616,0.003927589867198192,6.479671068510526,1942,14193.91687487522,0.43423475029713443
18,c,C,language,0.5139638402769716,0.9992140763953268,0.004044828538187154,6.406249637441196,1837,13419.659610993853,0.4084961897950624
19,cpp,C++,language,0.5128535034546686,0.999263623785581,0.003915486293891564,6.383164082172261,1967,14317.017938965624,0.4091175190822705
20,r,R,language,0.4922103457238791,0.9988522303940611,0.0048893826834389255,6.271287133815028,1255,9188.059916126991,0.378703337294554
21,dart,Dart,language,0.47867815678473585,0.9981034662234998,0.0062800692674435344,6.12505965891747,758,5557.332604718549,0.36885471998694375
22,lua,Lua,language,0.47851214108585066,0.997282093012498,0.007517877653182124,6.06516040531151,533,3870.162128498519,0.37694568291188896
23,erlang,Erlang,language,0.4650572019051052,0.9956950187900959,0.009447172963937411,6.086547139759677,335,2440.4686124977147,0.3452581036157349
24,ocaml,OCaml,language,0.4525908598676152,0.9945940493551908,0.01056463086161887,5.87806349448834,270,1937.7760927622155,0.3457967617364682
25,zig,Zig,language,0.4266726116366581,0.9965287489605407,0.008412035869936916,5.777519545273312,421,3023.9669158440197,0.30105290900375536
26,nim,Nim,language,0.4266545150226274,0.993919565751067,0.01113327782054129,5.863068917034857,240,1721.543255089991,0.2909770770874032
27,perl,Perl,language,0.4100574560689527,0.9969057158496296,0.007897991976510936,5.604333411481143,465,3401.1183035706817,0.2872932694653653
28,shell,Shell,language,0.3931167110578982,0.9993117748119031,0.0036990312549128176,5.56129745736336,2094,15330.153467709768,0.25448570501526047
29,matlab,MATLAB,language,0.37761964500435097,0.9977379684267763,0.006656009544138019,5.400228455920703,635,4657.965740552697,0.2424990343184017
30,sql,SQL,language,0.3690806159569496,0.9993563158370496,0.0035342180668926203,5.3806326910286195,2247,16383.683307598958,0.22554974722255183
31,groovy,Groovy,language,0.36444293064231087,0.9963355303796206,0.008410212744401258,5.318741577653308,397,2865.689448443994,0.22470234422485613
32,powershell,PowerShell,language,0.3409022421212924,0.9987680653700095,0.004802783994597911,5.098020695055499,1173,8555.776586573196,0.20140916571142592
33,objective-c,Objective-C,language,0.34063381135977877,0.9960391348664792,0.008610167855685778,5.080823131710493,362,2655.6411504759562,0.2038795069240303
34,visual-basic,Visual Basic,language,0.32161055761974067,0.9970921790202255,0.0072710628485974736,4.935019652096787,487,3627.8015065118616,0.18105233168783783
35,fortran,Fortran,language,0.31467238219838195,0.9933210508131365,0.010955744045707275,4.989587951485505,212,1572.6898181531465,0.15948501612588348
36,cobol,COBOL,language,0.3072372354701852,0.9916608521430086,0.012161843391908877,4.712113790612592,175,1251.9959508799623,0.1791957532262209
37,delphi,Delphi,language,0.30152008313663425,0.9937123927095745,0.01050478492893085,4.702018386176769,233,1663.5161406745383,0.16784958402152633
38,elm,Elm,language,0.2811218794576141,0.9934111185288865,0.01053392401268583,4.737214410787782,222,1587.2499424385805,0.1184121478431515
39,solidity,Solidity,language,0.2591142386114882,0.996567628493494,0.007410163398289555,4.432298358505232,423,3061.1250486010676,0.1099043291752034
40,smalltalk,Smalltalk,language,0.25847750482291065,0.9912447299407617,0.011825450427166366,4.4349204071877155,164,1194.6030675019606,0.10829675024252364
41,reason,ReasonML,language,0.25655093332676515,0.9893909760677213,0.01298552465938155,4.519707778739051,140,979.1125393439056,0.09273673254826821
42,abap,ABAP,language,0.24050528966094717,0.9942845251072782,0.009327392033519944,4.190410327043018,257,1830.5630678530244,0.10068738218566951
43,apex,Apex,language,0.23709817901096902,0.9945370242953818,0.009074494599552514,4.2847437858332,263,1921.605046194099,0.08095174135010402
44,racket,Racket,language,0.21517727764964076,0.992133735877313,0.010521499229336576,4.06813327454169,179,1334.501790029013,0.06109133099126341
45,assembly,Assembly,language,0.21302156002105138,0.9981361580409992,0.005102783198491973,3.9474705733566373,781,5645.314118882168,0.0728434219147411
46,ada,Ada,language,0.2070630649326264,0.9909068679316358,0.01115415741714372,3.7726955389701895,157,1150.6773025819216,0.0810757040067507
47,coffeescript,CoffeeScript,language,0.20311046746281416,0.9923709354479749,0.010144023245657002,3.745263677411008,189,1371.932030941414,0.07635353514518727
48,prolog,Prolog,language,0.19929231324587868,0.990981037968428,0.010951407246676377,3.8106538170163096,163,1155.5300496878112,0.05889443159394643
49,vba,VBA,language,0.1893615810020193,0.9972315126652268,0.005951003069514759,3.6379642532708334,518,3804.496982982579,0.061767800640023664
50,scratch,Scratch,language,0.18829139035060868,0.9958373107608364,0.007281346182496706,3.6231453349217304,348,2522.751824734121,0.06089052521688768