trial,rms_error,max_abs_error,max_abs_control,final_output,final_reference
0,0.5052344900634911,0.8523453808676289,0.6818763046941032,-0.18020993468485605,0.1428093767346004
1,0.33429060789876985,0.5906684660670765,1.1532892556123184,-0.1941793480334431,0.1428093767346004
2,0.22519405196278022,0.4179439154239669,1.4750632581546976,-0.1586921115451953,0.1428093767346004
3,0.15506078340063564,0.30381684906098705,1.6961761736614265,-0.10449245563173006,0.1428093767346004
4,0.10928120954936162,0.22975076607020922,1.8448945226226083,-0.04813647650184852,0.1428093767346004
5,0.07872225840423386,0.17967574898997302,1.9408816963392677,0.0023702548845158378,0.1428093767346004
6,0.057798544719511374,0.14392079099261657,2.005434466689555,0.04395843138991112,0.1428093767346004
7,0.04313842206552857,0.11972772942014287,2.042557202148245,0.07623735908612922,0.1428093767346004
8,0.03269376101650768,0.09885385564898855,2.0618290257607117,0.10012784648843182,0.1428093767346004
9,0.025181851596121636,0.08625482928339212,2.072122878312611,0.1170671807859471,0.1428093767346004
10,0.01975808454959496,0.07503898246013757,2.070460970020188,0.12857293761413907,0.1428093767346004
11,0.015834712225962225,0.06506564022119002,2.0616494415146174,0.136025510821271,0.1428093767346004
12,0.01298507189993199,0.05620778325272924,2.053749426385563,0.14057907349432353,0.1428093767346004
13,0.010894285441365906,0.04835076330180654,2.0412019114742037,0.14314402372194948,0.1428093767346004
14,0.00933242462434002,0.04444125416956521,2.0258638800183655,0.1444059116040717,0.1428093767346004
15,0.00813635144014243,0.040885953835999994,2.009154415514546,0.14486004320358029,0.1428093767346004
16,0.0071941434031738815,0.03761507752912001,1.9921366263808862,0.14484997566801694,0.1428093767346004
17,0.006431030650540484,0.0346058713267904,1.9756508083956803,0.14460371869933655,0.1428093767346004
18,0.0057976548708990735,0.03183740162064716,1.960264199498001,0.14426483529113968,0.1428093767346004
19,0.005261251249615998,0.029290409490995387,1.9458875990354187,0.1439175882210796,0.1428093767346004
20,0.004799605985250311,0.02694717673171576,1.9333222990135976,0.14360633690175628,0.1428093767346004
21,0.0043971847828007055,0.024791402593178483,1.9245656906104835,0.14334989802050307,0.1428093767346004
22,0.004042751758161379,0.02280809038572422,1.920025752138408,0.1431517669611726,0.1428093767346004
23,0.003727925400770505,0.020983443154866277,1.91814975341122,0.14300709820679888,0.1428093767346004
24,0.003446291938303023,0.019304767702476966,1.9202146017464883,0.14290725116138134,0.1428093767346004
25,0.003192842123467261,0.017760386286278823,1.923156198461224,0.14284257743944823,0.1428093767346004
26,0.0029635970706397338,0.01633955538337653,1.9267358872179594,0.14280398825184545,0.1428093767346004
27,0.00275534889710492,0.015032390952706393,1.9307405331506369,0.14278371312214724,0.1428093767346004
28,0.0025654751952470536,0.013829799676489896,1.9349843015120836,0.14277555176095033,0.1428093767346004
29,0.0023918037526655506,0.012723415702370705,1.93930894634788,0.14277483197156657,0.1428093767346004