iter,upper_bound,policy_value,gap_to_exact,terminal_inventory,cuts_added
1,159.17500004048958,106.81299170602561,5.363320793974381,0,4
2,122.51405612793073,111.14516051641331,1.0311519835866818,3,4
3,114.33735082900121,110.0429538733318,2.1333586266681976,2,4
4,113.26177208589839,111.66844858527544,0.5078639147245525,0,4
5,112.52756243537401,111.96603000141963,0.2102824985803693,0,4
6,112.52756243536912,111.96603000141963,0.2102824985803693,0,4
7,112.44149025317769,111.9870639724007,0.18924852759928967,0,4
8,112.28009296063793,112.15834647014336,0.017966029856637533,0,4
9,112.27093519364884,112.15834647014336,0.017966029856637533,0,4
10,112.27093519364884,112.15834647014336,0.017966029856637533,0,4
11,112.27093519364884,112.15834647014336,0.017966029856637533,0,4
12,112.27093519364884,112.15834647014336,0.017966029856637533,0,4
13,112.27093519364884,112.15834647014336,0.017966029856637533,0,4
14,112.27093519364884,112.15834647014336,0.017966029856637533,0,4
15,112.27093519364884,112.15834647014336,0.017966029856637533,0,4
16,112.27093519364884,112.15834647014336,0.017966029856637533,0,4
17,112.18788090251228,112.15294207077031,0.02337042922968635,0,4
18,112.18788090251228,112.15294207077031,0.02337042922968635,0,4
19,112.18788090251228,112.15294207077031,0.02337042922968635,0,4
20,112.18788090251228,112.15294207077031,0.02337042922968635,0,4
21,112.17631254008374,112.17631250000944,-9.450218385609332e-12,0,4