stage,state_index,node,capacities,action,value
0,22,2,[0,0,0,1,0,0],b-t,0.918421052592578
0,27,2,[0,0,0,1,0,1],b-t,0.918421052592578
0,31,1,[0,0,0,1,1,0],a-b,0.9083492983222656
0,32,2,[0,0,0,1,1,0],b-t,0.918421052592578
0,36,1,[0,0,0,1,1,1],a-b,0.9083492983222656
0,37,2,[0,0,0,1,1,1],b-t,0.918421052592578
0,42,2,[0,0,0,2,0,0],b-t,0.918421052592578
0,47,2,[0,0,0,2,0,1],b-t,0.918421052592578
0,51,1,[0,0,0,2,1,0],a-b,0.9083492983222656
0,52,2,[0,0,0,2,1,0],b-t,0.918421052592578
0,56,1,[0,0,0,2,1,1],a-b,0.9083492983222656
0,57,2,[0,0,0,2,1,1],b-t,0.918421052592578
0,80,0,[0,0,1,1,0,0],s-b,0.9015656318972656
0,82,2,[0,0,1,1,0,0],b-t,0.918421052592578
0,85,0,[0,0,1,1,0,1],s-b,0.9015656318972656
0,87,2,[0,0,1,1,0,1],b-t,0.918421052592578
0,90,0,[0,0,1,1,1,0],s-b,0.9015656318972656
0,91,1,[0,0,1,1,1,0],a-b,0.9083492983222656
0,92,2,[0,0,1,1,1,0],b-t,0.918421052592578
0,95,0,[0,0,1,1,1,1],s-b,0.9015656318972656
0,96,1,[0,0,1,1,1,1],a-b,0.9083492983222656
0,97,2,[0,0,1,1,1,1],b-t,0.918421052592578
0,100,0,[0,0,1,2,0,0],s-b,0.9015656318972656
0,102,2,[0,0,1,2,0,0],b-t,1.8984666191335937